Apartment.Texture.rotate
none, FM, FM-3D, ICP, PCA, PC, PC2, PC3
7.68098, 5.719, 25.0385, 5.58077, 7.56618, 9.50301, 7.52903, 5.64286
13.0052, 8.83467, 7904.02, 7.3632, 13.5805, 13.9919, 16.5403, 7.58632
5.00786, 4.5755, 8943.31, 4.88813, 4.99882, 6.80803, 8.31321, 5.0484
9.8814, 6.52507, 5.97501, 5.66588, 9.87781, 8.02651, 8.74306, 5.52886
13.3626, 4.9987, 7258.73, 4.7509, 12.7987, 6.50997, 5.48351, 4.7472
22.7889, 10.162, 9.38241, 9.31412, 23.2907, 16.0104, 18.1068, 9.24214

Office.Texture.rotationXAxis
none, FM, FM-3D, ICP, PCA, PC, PC2, PC3
8.27552, 5.10759, 14.9594, 5.66135, 8.28043, 5.50489, 7.25493, 5.30074
3.31322, 3.28549, 4.18417, 3.25579, 3.42083, 3.36186, 3.41949, 3.40052
3.88073, 2.91877, 4.79999, 3.13607, 3.83696, 2.89685, 3.55853, 3.02461
8.98413, 3.90254, 4.20737, 4.33445, 8.88601, 4.08652, 4.20984, 3.93571
4.04026, 3.80043, 4.29156, 3.45179, 4.14168, 3.57334, 5.14265, 3.56359
3.91492, 3.55658, 47.6437, 3.63446, 3.94969, 3.71746, 4.42577, 3.59789
4.5839, 4.08503, 5.32677, 3.75134, 4.59648, 4.27501, 3.90136, 3.78867
